"혈","부위","판정","판정 근거","기대 층 (해부학)","문제","근거 문헌","제안 조치","방향 편차(°)","현재 경로 (첫 뼈·장기까지, mm)","평균 법선 경로 (편차 15° 이상만)","10 mm 이상 빈 구간","5 mm 이내 근접인데 표시 안 되는 위험구조","교차하는 위험구조","원문 자침법","검수 판정","검수 의견"
"GV16","목·어깨윗부분","치명","수동","항인대 → (두반극근 사이) → 뒤고리뒤통수막 → 경막 → 대뇌소뇌수조·연수","4.3 mm에서 뒤통수뼈에 충돌. 항인대·막·경막·연수가 전혀 나오지 않아 가장 위험한 혈이 '뼈에서 멈춤'으로 보임","Chou 2015 BMJ Open MRI https://doi.org/10.1136/bmjopen-2015-007819: 피부→위험조직 MRI 평균 46 mm","위치(뒤통수뼈 아래 오목)와 방향(턱 쪽·약간 아래) 재설정, 항인대·경막·연수 깊이 표시","22","Occipital bone 4.3","Occipital bone 4.6","","","","直刺 0.3～0.5寸 (모델 상한 9.1 mm)","",""
"LI18","목·어깨윗부분","치명","수동","넓은목근 → 흉쇄유돌근 → (깊이) 경동맥집·목정맥","경동맥·속목정맥이 반경 12 mm 안에 없음. 흉쇄유돌근 뒤 12 mm 공백 후 긴머리근·C3로 감. 넓은목근 누락. 혀인두신경 1.6 mm는 라벨 의심","Chou 2015 BMJ Open MRI https://doi.org/10.1136/bmjopen-2015-007819: 주요 목혈관까지 13 mm","경동맥집 상대위치 확인, 근접 혈관 표시","1","sternocleidomastoid 8.2 → longus capitis 31.3 → anterior cervical intertransversarii 36 → Third cervical vertebra 46.1","","19→31mm(longus capitis 앞)","Glossopharyngeal nerve (IX) 1.6mm옆@20.4; Accessory nerve (XI) 4.5mm옆@21.7; vertebral artery 2.3mm옆@40.7; Sympathetic trunk 3.8mm옆@42.5","","直刺 0.3～0.5寸 (모델 상한 9.1 mm)","",""
"SI16","목·어깨윗부분","치명","수동","흉쇄유돌근 뒤모서리 → 뒤삼각(지방·더부신경) → 어깨올림근/목갈비근","26 mm까지 공백(뒤삼각 지방 미모델), 더부신경 3.4 mm 근접 미표시, 주요 혈관 없음","Chou 2015 BMJ Open MRI https://doi.org/10.1136/bmjopen-2015-007819: 주요 혈관 18 mm","공백 라벨, 더부신경 근접 표시, 방향 40° 보정","59","scalenus medius 26.1 → Third cervical vertebra 29.5","platysma 27.9 → platysma 70.7","0→26mm(scalenus medius 앞)","Accessory nerve (XI) 3.4mm옆@21.8","","直刺 0.3～0.5寸 (모델 상한 9.1 mm)","",""
"ST9","목·어깨윗부분","치명","수동","넓은목근 → 흉쇄유돌근 앞모서리 → 총경동맥(분기부) 바로 옆","경동맥이 반경 12 mm 안에 없음. 경로가 방패목뿔근·인두로 가서 위치가 후두 쪽으로 너무 안쪽","Chou 2015 BMJ Open MRI https://doi.org/10.1136/bmjopen-2015-007819: 주요 목혈관까지 16 mm","흉쇄유돌근 앞모서리로 위치 이동(검수 메모: C4 높이), 경동맥 표시","33","platysma 2.8 → thyrohyoid 15.5 → thyrohyoid membrane 17.9 → palatopharyngeus 45.3 → middle pharyngeal constrictor 47.2 → inferior pharyngeal constrictor 50.1 → Superior oblique part longus colli 56.6 → levator scapulae 79.1","platysma 3.9 → middle pharyngeal constrictor 20.7 → Tongue 22.2 → superior pharyngeal constrictor 75.9","19→45mm(palatopharyngeus 앞); 68→79mm(levator scapulae 앞)","Epiglottis 2.1mm옆@26.5; middle pharyngeal constrictor 4.1mm옆@41.4; Sympathetic trunk 3.6mm옆@46.8; Ganglia of sympathetic trunk 2.9mm옆@46.8","palatopharyngeus@45.3; middle pharyngeal constrictor@47.2; inferior pharyngeal constrictor@50.1","直刺 0.2～0.3寸 (不宜過深刺 혹 禁刺) (모델 상한 5.5 mm)","",""
"ST12","목·어깨윗부분","치명","수동","넓은목근 → (어깨목뿔근) → 상완신경얼기 줄기·빗장밑동맥 → 첫째갈비뼈/흉막꼭대기","빗장밑동맥 2 mm, 긴가슴신경 2.5 mm 근접 미표시. 상완신경얼기 줄기 없음","해부","근접 표시","8","platysma 10.6 → serratus anterior 18.7 → external intercostal muscle 24.6 → first rib 24.7","","0→11mm(platysma 앞)","suprascapular vein 4.2mm옆@9.1; suprascapular artery 4.3mm옆@13.1; subclavian artery 2mm옆@15.2; Long thoracic nerve 2.5mm옆@19.8; Intercostal nerves 4.1mm옆@27.4","","直刺 0.3～0.5寸 (모델 상한 8.5 mm)","",""
"BL39","무릎·오금","치명","수동","넙다리두갈래근 힘줄 안쪽 → 온종아리신경","온종아리신경 미표시, 정강신경 교차","해부","온종아리신경 정합·표시","1","Lateral head gastrocnemius 16.8 → plantaris 31.3 → Tibial nerve 37.2 → tibia 67.9","","0→17mm(Lateral head gastrocnemius 앞); 49→68mm(tibia 앞)","popliteal artery 1.8mm옆@47.1","Tibial nerve@37.2","直刺 0.3～1寸 (모델 상한 23.8 mm)","",""
"BL40","무릎·오금","치명","수동","오금 지방 → 정강신경(가장 얕음) → 오금정맥 → 오금동맥(가장 깊음)","장딴지근 두 갈래를 지나고 정강신경 7.4 mm 밖, 오금동맥 0.8 mm 옆 @50.8","Hou 2020 MRI https://doi.org/10.1177/0964528420958714: 70% 안전깊이 18.5 mm → 동맥 약 26 mm (모델 약 2배)","오금 정합, 신경혈관다발 표시","직접 시드","small saphenous vein 21.8 → Medial head gastrocnemius 23.5 → Lateral head gastrocnemius 25.9 → plantaris 33.4 → tibia 60.6","","0→22mm(small saphenous vein 앞); 46→61mm(tibia 앞)","popliteal artery 0.8mm옆@50.8","small saphenous vein@21.8","直刺 0.6～1.5寸 (모델 상한 35.7 mm)","",""
"GB34","무릎·오금","치명","수동","긴종아리근/긴발가락폄근 → (온종아리신경 분지)","종아리신경 분지 미표시, 긴종아리근 누락, 뼈사이막 통과 후 오금정맥·동맥(37~46 mm)","Park & Kim 2013: 혈관·신경 21.2 mm(구조명 미확인)","신경 정합·표시","5","extensor digitorum longus 21.1 → Interosseous membrane leg 31.9 → soleus 35.4 → popliteal vein 37.7 → popliteal artery 45.7 → popliteus 48.5 → Medial head gastrocnemius 78","","0→21mm(extensor digitorum longus 앞)","","popliteal vein@37.7; popliteal artery@45.7","0.8～1.2寸 直刺 (모델 상한 26.7 mm)","",""
"LR11","배·샅","치명","수동","긴모음근 가쪽 모서리 → 긴·짧은모음근 (가쪽에 넙다리혈관)","넙다리동맥 관통 @17.8","해부","위치 안쪽 이동","47","femoral artery 17.8 → pectineus 28.4 → deep femoral vein 36.8","femoral artery 23.5 → pectineus 28 → deep femoral vein 29.4 → hip bone 56.7","0→18mm(femoral artery 앞)","Saphenous nerve 1.6mm옆@27.5; Femoral nerve 2.9mm옆@36.9; medial circumflex femoral vein 4.6mm옆@45.2","femoral artery@17.8; deep femoral vein@36.8","直刺 0.3～0.7寸 (모델 상한 20.8 mm)","",""
"SP12","배·샅","치명","수동","샅고랑 넙다리동맥 가쪽: 넙다리신경 바로 아래","넙다리동맥·신경 근접 없음. 복벽 → 엉덩근 → 샅고랑인대 위 위치","원문: 動脈을 피하여","위치·근접 표시","26","internal oblique 20.4 → transversus abdominis 23.6 → iliacus 46.7 → femur 67","internal oblique 19.5 → transversus abdominis 24.3 → iliacus 54.1 → hip bone 73.4","0→20mm(internal oblique 앞); 27→47mm(iliacus 앞)","","","直刺 0.5～0.7寸 (動脈을 피하여 刺鍼) (모델 상한 15.6 mm)","",""
"SI12","어깨·견갑","치명","수동","등세모근 → 가시위근 → 가시위오목(뼈), 바닥 근처 어깨위신경·혈관","견갑골을 비껴 상완신경얼기(79~92 mm)·겨드랑동맥(109 mm)까지 감","해부","위치·방향 수정, 뼈 정지","30","Ascending part trapezius 15.4 → supraspinatus 34.6 → omohyoid 42.3 → Posterior division of superior trunk of brachial plexus 79.1","Ascending part trapezius 13.2 → scapula 22.2","0→15mm(Ascending part trapezius 앞); 56→79mm(Posterior division of superior trunk of brachial plexus 앞)","Suprascapular nerve 2.9mm옆@67.5","Posterior division of superior trunk of brachial plexus@79.1","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"HT1","위팔·팔꿈치","치명","수동","(팔 벌림) 겨드랑 지방 → 겨드랑근막 → 겨드랑동정맥·상완신경얼기 다발","41 mm까지 아무 구조 없이 위팔뼈. 겨드랑동맥·신경다발 없음. 원문 방향(위쪽 겨드랑이) 미반영","원문: 혈관·신경 주의","자세·방향 반영, 다발 표시","직접 시드","humerus 40.9","","0→41mm(humerus 앞)","","","直刺 0.2～0.5寸 (上向하여 겨드랑이로 향해) (모델 상한 10 mm)","",""
"HT2","위팔·팔꿈치","치명","수동","안쪽두갈래근고랑: 자쪽피부정맥 → 위팔동맥·정중신경·자신경","면 법선이 87° 어긋나 사실상 피부와 평행. 위팔동맥 3.6 mm 근접 미표시","원문 방향: 안쪽→가쪽","방향 재설정(팔–몸통 접촉부 법선 오류)","87","Short head biceps brachii 9.8 → brachialis 15.7 → humerus 32.8","","","brachial artery 3.6mm옆@18","","直刺 0.3～0.5寸 (臂內側에서 外側으로) (모델 상한 10 mm)","",""
"LI13","위팔·팔꿈치","치명","수동","위팔세갈래근 가쪽갈래 → 노신경(나선고랑)","현재 면 법선 경로는 노신경과 멀지만 평균 법선(27° 차이) 경로는 노신경 교차 @33.7. 방향이 위험 표시를 좌우함","Tang & Cheng 2019 초음파 https://doi.org/10.1089/acu.2019.1335: LI13에서 초음파로 노신경 자입 확인","방향 보정 후 노신경 표시","27","brachialis 13.2 → humerus 37.4","Lateral head triceps brachii 30.4 → Radial nerve 33.7 → Long head triceps brachii 61","0→13mm(brachialis 앞)","","","直刺 0.3～0.5寸 (혈관을 피하여 鍼尖을 臂外面에서 內側面을 향해 刺入) (모델 상한 10 mm)","",""
"PC3","위팔·팔꿈치","치명","수동","두갈래근널힘줄 → 위팔근, 바로 안쪽에 위팔동맥·정중신경","위팔동맥 2.3 mm @18.6 근접 미표시. 정중신경 없음. 두갈래근 힘줄·널힘줄 미모델","원문: 不宜深刺","근접 표시","직접 시드","brachialis 19.2 → humerus 36.4","","0→19mm(brachialis 앞)","medial brachial vein 4mm옆@13; brachial artery 2.3mm옆@18.6","","直刺 0.5～1寸(不宜深刺) (모델 상한 20 mm)","",""
"SI8","위팔·팔꿈치","치명","수동","자신경고랑 (자신경 바로 위)","자신경이 8 mm 밖. 세갈래근 → 위팔뼈","해부","위치 확인(검수 메모: 팔꿈치 중앙에 가까움)","7","Long head triceps brachii 15 → Medial head triceps brachii 17.4 → humerus 43","","0→15mm(Long head triceps brachii 앞)","","","直刺 0.2～0.5寸 (모델 상한 11.2 mm)","",""
"CV15","가슴","중대","수동","칼돌기 끝 아래: 백색선 → 간 (위로 심장)","3.7 mm에서 칼돌기 충돌","Cheng 2012(초록): 안전깊이 약 17~25 mm, 정의는 원문 확인 필요","검수 메모('칼돌기 끝') 위치 수정","6","Xiphoid process 3.7","","","","","直刺 0.3～0.5寸 (모델 상한 14.9 mm)","",""
"GB22","가슴","중대","수동","(팔 듦) 중간겨드랑선 제4늑간: 앞톱니근 → 늑간근 → 흉막","큰가슴근 → 넷째갈비뼈. 앞톱니근 누락","해부","자세·늑간 반영","직접 시드","Abdominal part pectoralis major 28.3 → fourth rib 57.8","","0→28mm(Abdominal part pectoralis major 앞); 33→58mm(fourth rib 앞)","lateral thoracic vein 0.9mm옆@41.3; lateral thoracic artery 1.7mm옆@49.1; Posterior intercostal arteries 2.7mm옆@58.1; Intercostal nerves 4.6mm옆@62.1; anterior intercostal veins 1.1mm옆@62.3","","直刺 0.2～0.3寸 (不宜深刺) (모델 상한 6 mm)","",""
"GB23","가슴","중대","수동","제4늑간: 앞톱니근 → 늑간근 → 흉막","배바깥빗근 → 다섯째갈비뼈. 앞톱니근 누락, 시드가 피부에서 13 mm","해부","늑간 스냅","7","external oblique 28.6 → external intercostal muscle 34.8 → fifth rib 36.5","","0→29mm(external oblique 앞)","Posterior intercostal arteries 0.4mm옆@38.4; anterior intercostal veins 0.9mm옆@39.6","","直刺 0.2～0.3寸 (不宜深刺) (모델 상한 5.1 mm)","",""
"KI22","가슴","중대","수동","제5늑간","다섯째갈비연골 충돌","해부","늑간 스냅","14","Sternocostal part pectoralis major 4.6 → fifth costal cartilage 15.8","","","","","直刺 0.2～0.3寸 (모델 상한 5.1 mm)","",""
"KI25","가슴","중대","자동(방향)","","","","","28","Sternocostal part pectoralis major 6.4 → Pleura 37.5","Sternocostal part pectoralis major 6.9 → third costal cartilage 20.2","24→38mm(Pleura 앞)","","Pleura@37.5","直刺 0.3～0.4寸 (不可深刺) (모델 상한 6.8 mm)","",""
"KI26","가슴","중대","수동","제1늑간","둘째갈비연골 충돌","해부","늑간 스냅","2","Sternocostal part pectoralis major 7 → second costal cartilage 19.6","","","","","直刺 0.2～0.4寸 (不可深刺) (모델 상한 6.8 mm)","",""
"ST14","가슴","중대","수동","제1늑간: 큰가슴근 → 늑간근 → 흉막","면 법선 90° 오류, 둘째갈비뼈 충돌 → 늑간 위치 아님","해부","늑간 스냅, 방향 보정","90","Sternocostal part pectoralis major 13.8 → second rib 28.3","","0→14mm(Sternocostal part pectoralis major 앞)","","","直刺 0.2～0.3寸 (모델 상한 5.1 mm)","",""
"ST15","가슴","중대","수동","제2늑간: 큰가슴근 → 늑간근 → 흉막","셋째갈비뼈 충돌 → 늑간 위치 아님","해부","늑간 스냅","8","Sternocostal part pectoralis major 9.9 → third rib 31.6","","","","","直刺 0.2～0.3寸 (不宜深刺) (모델 상한 5.1 mm)","",""
"ST16","가슴","중대","수동","제3늑간","면 법선 84° 오류","해부","방향 보정","84","Sternocostal part pectoralis major 3.4 → external intercostal muscle 29.1 → internal intercostal muscle 30.9 → Pleura 45.3","","33→45mm(Pleura 앞)","Lateral pectoral nerve 4.5mm옆@8.1","Pleura@45.3","直刺 0.2～0.3寸 (不可深刺) (모델 상한 5.1 mm)","",""
"LR10","넓적다리","중대","수동","긴모음근 → 짧은모음근","긴모음근 누락, 두덩근 34.9, 넙다리신경 3.8 mm 근접 → 위치가 가쪽","해부","위치","2","pectineus 34.9","","0→35mm(pectineus 앞)","Femoral nerve 3.8mm옆@35.8; deep femoral vein 3.1mm옆@37.2","","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"BL22","등·허리","중대","수동","넓은등근 널힘줄/흉요근막 → 척추세움근(가장긴근·뭇갈래근) → 가로돌기 사이 → 큰허리근","허리네모근이 척추세움근과 겹쳐 앞이 아닌 층으로 나옴. 뭇갈래근 누락","요추 MRI 2020 https://doi.org/10.1016/j.imr.2020.100679: 피부→L1 가로돌기 45 mm (모델 L2 척추 62.5 mm)","허리네모근 정합","2","latissimus dorsi 6.8 → serratus posterior inferior 13.6 → longissimus thoracis 31 → quadratus lumborum 43.4 → Second lumbar vertebra 62.5","","52→63mm(Second lumbar vertebra 앞)","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"BL23","등·허리","중대","수동","BL22와 같음 (L2)","가장긴근과 허리네모근 겹침(36~38 mm), 큰허리근 대신 가로돌기사이근 → L3","요추 MRI 2020 https://doi.org/10.1016/j.imr.2020.100679: L2 가로돌기 49 mm (모델 66 mm, 17 mm 깊음)","허리네모근·척추세움근 정합","3","latissimus dorsi 8.3 → serratus posterior inferior 16.7 → serratus posterior inferior 18.4 → iliocostalis lumborum 20.2 → longissimus thoracis 30.5 → quadratus lumborum 36.3 → quadratus lumborum 55.3 → lumbar rotator 64.3 → lateral lumbar intertransversarius 64.7 → medial lumbar intertransversarius 65.2 → Third lumbar vertebra 66.2","","","Obturator nerve 2.8mm옆@68.1; Femoral nerve 4.6mm옆@68.3","","直刺 0.3～1寸 (모델 상한 20.2 mm)","",""
"BL24","등·허리","중대","수동","(L3)","가로돌기에 닿지 않고 72 mm에서 큰허리근, 98 mm 요관","요추 MRI 2020 https://doi.org/10.1016/j.imr.2020.100679: L3 가로돌기 53 mm","정합","2","latissimus dorsi 12.6 → iliocostalis lumborum 19.1 → quadratus lumborum 29.2 → quadratus lumborum 51.9 → lateral lumbar intertransversarius 59.8 → psoas major 72","","0→13mm(latissimus dorsi 앞); 62→72mm(psoas major 앞)","Lumbar artery 0.9mm옆@67.6","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"BL51","등·허리","중대","수동","넓은등근 → 아래뒤톱니근 → 엉덩갈비근 → 허리네모근 → (콩팥)","아래뒤톱니근 누락, 허리네모근~큰허리근 42 mm 공백, 콩팥 4.4 mm 근접 미표시","MRI 콩팥부위 연구(수치 미확보)","공백·근접 표시","2","latissimus dorsi 5.2 → iliocostalis lumborum 16.3 → quadratus lumborum 21.8 → psoas major 71","","29→71mm(psoas major 앞)","","","直刺 0.3～0.6寸 (모델 상한 12.1 mm)","",""
"BL52","등·허리","중대","수동","BL51과 같음 (L2)","콩팥 89.8 mm로 깊음, 허리네모근~큰허리근 공백","원문: 禁深刺","콩팥 깊이 확인","3","latissimus dorsi 2.5 → iliocostalis lumborum 12.3 → quadratus lumborum 19.2 → psoas major 65.1 → kidney 89.8","","34→65mm(psoas major 앞)","Lumbar artery 3.8mm옆@45.9; Femoral nerve 1.3mm옆@65.8; Genitofemoral nerve 1.1mm옆@73.8","kidney@89.8","直刺 0.5～1寸 (禁深刺) (모델 상한 20.2 mm)","",""
"GV4","등·허리","중대","수동","가시끝인대 → 가시사이인대 → 황색인대 → 경막","30 mm에서 가시돌기 충돌 → 위치가 가시돌기 위","해부","위치","14","latissimus dorsi 13.2 → Supraspinous ligament 22.8 → Second lumbar vertebra 30.2","","0→13mm(latissimus dorsi 앞)","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"GV5","등·허리","중대","수동","GV4와 같음","27 mm에서 가시돌기 충돌","해부","위치","5","Supraspinous ligament 22.3 → First lumbar vertebra 27.4","","0→22mm(Supraspinous ligament 앞)","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
